"Frase","Palabras por Frase","Frecuencia Acumulada"
"de felipe","2","2"
"es una población y comuna francesa","6","8"
"el punto de","3","11"
"la mitad","2","13"
"de los principales","3","16"
"gobernador de","2","18"
"conde de","2","20"
"de la época","3","23"
"sino que","2","25"
"castillo de","2","27"
