"Frase","Palabras por Frase","Frecuencia Acumulada"
"en el festival de","4","4"
"iv de","2","6"
"de la república de","4","10"
"que contiene","2","12"
"se convirtió en el","4","16"
"a principios de","3","19"
"programas de","2","21"
"los siglos","2","23"
"la liga","2","25"
"de la unión soviética","4","29"
