"Frase","Palabras por Frase","Frecuencia Acumulada"
"de interés","2","2"
"segunda guerra mundial","3","5"
"arte de","2","7"
"de los casos","3","10"
"al igual que el","4","14"
"el edificio","2","16"
"de la actividad","3","19"
"de color","2","21"
"técnica de","2","23"
"uno de los principales","4","27"
"en honor","2","29"
"el punto de","3","32"
"la catedral de","3","35"
"llegar a","2","37"
"sociales y","2","39"
