"Frase","Palabras por Frase","Frecuencia Acumulada"
"de james","2","2"
"la teoría de la","4","6"
"el mismo","2","8"
"de la cámara de","4","12"
"el territorio","2","14"
"la categoría de","3","17"
"pasó a ser","3","20"
"va de","2","22"
"su hermano","2","24"
"las aguas","2","26"
"haciendo que","2","28"
"el llamado","2","30"
"el diario","2","32"
"en casi","2","34"
"formar parte","2","36"
